tour_name,location,price,duration,rating,City,tour_id
Đi bộ dưới biển Seawalker và khám phá 3 đảo Phú Quốc - Tour 1 ngày của Namaste,"Nguyễn Văn cừ, tổ 4, kp1, Phú Quốc, Kiên Giang, Vietnam",1990000,0.0,"9,4",Phú Quốc,0
"Tour khám phá 4 đảo, trải nghiệm cáp treo Hòn Thơm và công viên nước Aquatopia ở Phú Quốc - 1 ngày","143 Trần Hưng Đạo, KP 7, TT Dương Đông, H.Phú Quốc, tỉnh Kiên Giang, Vietnam",1364000,0.0,"8,5",Phú Quốc,1
"Đi bộ dưới biển Seawalker, khám phá 4 đảo và cáp treo Hòn Thơm - Tour 1 ngày của Namaste","Tp. Phú Quốc, Kiên Giang, Vietnam",2850000,0.0,"9,6",Phú Quốc,2
Tour khám phá 3 đảo bằng tàu tại Phú Quốc - 1 ngày,"Gam Ghi island, Hòn Thơm, Phu Quoc, Kien Giang, Vietnam",605000,0.0,"8,7",Phú Quốc,3
"Khám phá 2 đảo, Sun World Hòn Thơm, Bữa trưa buffet tại Phú Quốc - Tour 1 ngày của Rooty Trip","Phú Quốc, Phu Quoc, Kien Giang, Vietnam",1404000,0.0,"10,0",Phú Quốc,4
"Tour khám phá 2 đảo, ngắm hoàng hôn, và ăn tối BBQ tại Phú Quốc - Nửa ngày","143 Trần Hưng Đạo, KP 7, TT Dương Đông, H.Phú Quốc, tỉnh Kiên Giang, Vietnam",1320000,0.0,"9,0",Phú Quốc,5
Tour tham quan bắc đảo Phú Quốc - 1 ngày,"Phú Quốc, Phu Quoc, Kien Giang, Vietnam",700000,0.0,"9,0",Phú Quốc,6
Tour 3 đảo bằng Cano Nam Phú Quốc - 1 ngày,"143 Trần Hưng Đạo, KP 7, TT Dương Đông, H.Phú Quốc, tỉnh Kiên Giang, Vietnam",800000,0.0,"9,1",Phú Quốc,7
Tour ngắm hoàng hôn và câu mực đêm trên đảo Phú Quốc - Nửa ngày,"143 Trần Hưng Đạo, KP 7, TT Dương Đông, H.Phú Quốc, tỉnh Kiên Giang, Vietnam",271000,0.0,"8,3",Phú Quốc,8
Khám phá 3 đảo Phú Quốc - Tour 1 ngày của Rooty Trip,"Tp. Phú Quốc, Kiên Giang, Việt Nam",540000,0.0,"5,0",Phú Quốc,9
"Tour khám phá nam đảo, trải nghiệm cáp treo 2 chiều đến Hòn Thơm và công viên nước Aquatopia ở Phú Quốc - 1 ngày","143 Trần Hưng Đạo, KP 7, TT Dương Đông, H.Phú Quốc, tỉnh Kiên Giang, Vietnam",1100000,0.0,"8,7",Phú Quốc,10
Khám phá 3 đảo Phú Quốc - Tour 1 ngày từ Namaste,"Phú Quốc, Kiên Giang, Vietnam",600000,0.0,"10,0",Phú Quốc,11
Tour Nam Đảo và Đông Đảo Phú Quốc - 1 ngày,"143 Trần Hưng Đạo, KP 7, TT Dương Đông, H.Phú Quốc, tỉnh Kiên Giang, Vietnam",320000,0.0,"8,6",Phú Quốc,12
Hành trình hoàng hôn trên du thuyền Nautilus - Tour nửa ngày,"Nguyễn Văn cừ, tổ 4, kp1, Phú Quốc, Kiên Giang, Vietnam",1690000,0.0,-,Phú Quốc,13
"[KHUYẾN MÃI｜B2G1] Tour Trong Ngày | Tour Wooden Junk Cruise 2 Đảo Phú Quốc: Lặn ngắm San Hô, Trải nghiệm Câu Cá, Ăn trưa trên boong tàu (bao gồm Chụp Flycam) | Việt Nam",Địa điểm trải nghiệm,470957,0.0,"10,0",Phú Quốc,14
Tour khám phá 2 đảo tại Phú Quốc - 1 ngày,"Phu Quoc, Kien Giang, Vietnam",488000,0.0,"6,2",Phú Quốc,15
Khám phá 4 đảo Phú Quốc - Tour 1 ngày từ Namaste,"Tp. Phú Quốc, Kiên Giang, Vietnam",1300000,0.0,"10,0",Phú Quốc,16
Tour Cắm Trại 2N1Đ | Hòn Gầm Ghì - Hòn Mây Rút,Địa điểm trải nghiệm,1957519,0.0,-,Phú Quốc,17
Phu Quoc Scuba Diving Day Tour,"Office operator: Phu Quoc Valley Village, Cua Lap, Duong To, Phu Quoc",2784527,0.0,"8,5",Phú Quốc,18
Phu Quoc Luxury Islands Hopping Day Tour by Speedboat,"An Thoi Harbour: An Thoi, Phu Quoc, Kien Giang",1508148,0.0,"8,3",Phú Quốc,19
Private Romantic Sunset Cruise Tour by Catamaran Speedboat in Phu Quoc,"An Thoi Harbour: Nguyen Van Cu, Phu Quoc, Kien Giang",2701152,0.0,-,Phú Quốc,20
2 Islands: Roi & Mong Tay or May Rut Excursion Day Tour,"379 Tran Hung Dao, Duong Dong town, Phu Quoc Island, Kien Giang",538751,0.0,"9,6",Phú Quốc,21
Phu Quoc Snorkeling Tour by speedboat Coral Mountain & Halfmoon Reef,"Phu Quoc, Kien Giang",1597642,0.0,-,Phú Quốc,22
One Day Snorkeling And Fishing In South Of Phu Quoc Island,"Vietnam, Kiên Giang, Phú Quốc, tt. Dương Đông, Khu 1",652506,0.0,"8,3",Phú Quốc,23
[Traveloka Free and Easy] Phu Quoc Northern Half Day Tour,"Phu Quoc, Vietnam",1346496,0.0,-,Phú Quốc,24
Tour vịnh Hạ Long trên du thuyền 5 sao Cozy Bay Premium - Tour 1 ngày,Ha Long International Cruise Port,3138944,0.0,"9,0",Hạ Long,25
Tour vịnh Hạ Long trên du thuyền 5 sao - 2N1Đ,"Hạ Long Bay, Thành phố Hạ Long, Quảng Ninh, Vietnam",787500,0.0,"9,3",Hạ Long,26
Tour du thuyền 5 sao cao cấp vịnh Hạ Long - 1 ngày,"Tuan Chau International Marina: Tuần Châu, Thành phố Hạ Long, Quảng Ninh, Vietnam",1000000,0.0,"10,0",Hạ Long,27
2D1N Tour: Ha Long Bay with Victory Star Cruise with English Guide,Ha Long City,3910991,0.0,"9,6",Hạ Long,28
Tour du thuyền vịnh Hạ Long - 1 ngày,Ha Long Bay,885432,0.0,"9,8",Hạ Long,29
Khám phá vịnh Hạ Long trên du thuyền 5 sao Sonata - Tour 1 ngày,"Tuan Chau International Marina: Tuan Chau, Ha Long, Quang Ninh",811662,0.0,-,Hạ Long,30
[Route 2] 2D1N Halong Bay by Aqua Elegance Luxury 5 Stars Cruise,"Hạ Long Bay, Thành phố Hạ Long, Quảng Ninh, Vietnam",6312500,0.0,"4,9",Hạ Long,31
"[Exclusive] Otis Premium Cruise Ha Long Bay Day Tour with Buffet Lunch, Sunset Party, and Optional Limousine Shared Transfer (From Ha Long/Hanoi) | Vietnam",Vịnh Hạ Long,2774366,0.0,-,Hạ Long,32
